"4/4""",AFROMOSIA,$16.81
"8/4""",AFROMOSIA,$15.76
"4/4""",ASH,$5.60
"5/4""",ASH,$7.92
"8/4""",ASH,$7.71
"4/4""",BASSWOOD,$5.81
"8/4""",BASSWOOD,$6.87
"4/4""",BEECH STEAMED,$8.98
"8/4""",BEECH STEAMED,$9.30
"4/4""",BIRCH,$7.39
"5/4""",BIRCH,$6.97
"8/4""",BIRCH,$8.24
"4/4""",BIRDSEYE MAPLE,$18.51
"5/4""",BUBINGA,$18.93
"4/4""",CABRUEVA,$10.00
"4/4""",CHERRY ,$5.60
"5/4""",CHERRY ,$6.66
"8/4""",CHERRY ,$6.97
"12/4""",CHERRY,$10.04
"4/4""",CURLY MAPLE,$16.81
"4/4""",EBIARA,$10.00
"4/4""",FIJI MAHOGANY,$6.50
"4/4""",HICKORY,$6.34
"4/4""",JATOBA HARDWOOD,$8.98
"8/4""",JATOBA HARDWOOD,$10.36
"4/4""",LACE WOOD,$17.45
"4/4""",MAHOGANY,$8.45
"5/4""",MAHOGANY,$8.03
"6/4""",MAHOGANY,$11.11
"8/4""",MAHOGANY,$12.16
"12/4""",MAHOGANY,$10.36
"4/4""",MAPLE  (HARD),$7.71
"5/4""",MAPLE  (HARD),$7.39
"4/4""",MAPLE  (SOFT),$6.12
"5/4""",MAPLE SOFT (RED),$8.77
"6/4""",MAPLE SOFT (RED),$7.39
"8/4""",MAPLE SOFT (RED),$7.71
"12/4""",MAPLE SOFT (RED),$10.04
"4/4""",PADOUK,$14.70
"8/4""",PADOUK,$14.35
"4/4""",POPLAR,$3.48
"5/4""",POPLAR,$3.48
"6/4""",POPLAR,$4.86
"8/4""",POPLAR,$4.75
"12/4""",POPLAR,$4.54
"16/4""",POPLAR,$6.12
"4/4""",PURPLE HEART,$13.64
"8/4""",PURPLE HEART,$13.22
"4/4""",RED OAK,$4.54
"5/4""",RED OAK,$4.75
"6/4""",RED OAK,$5.60
"8/4""",RED OAK,$5.07
"4/4""",SPANISH CEDAR,$14.28
"4/4""",SAPELE,$10.04
"4/4""",TEAK B.,$53.41
"5/4""",TEAK B.,$63.34
"8/4""",TEAK B.,$76.67
"4/4""",WALNUT,$14.28
"5/4""",WALNUT,$13.64
"8/4""",WALNUT,$14.70
"12/4""",WALNUT,$14.28
"4/4""",WENGE,$19.57
"4/4""",WHITE OAK,$11.53
"5/4""",WHITE OAK,$12.16
"8/4""",WHITE OAK,$16.39
"10/4""",WHITE OAK,$16.39
"4/4""",QTR. SAWN WHITE OAK,$15.81
"4/4""",ZEBRAWOOD,$16.39
